future_h,ret_threshold,total_trades,closed_trades,net_pnl,win_rate,wins,losses,avg_pnl,avg_hold_bars,high_confidence_signals,final_amount,error
3,0.0002,3,1,-5.93994140625,0.0,0,1,-5.93994140625,274.0,118,9992.847758621216,
3,0.0003,3,1,-1.707275390625,0.0,0,1,-1.707275390625,285.0,118,9997.086773635863,
3,0.0005,6,1,-6.47991943359375,0.0,0,1,-6.47991943359375,275.0,118,9972.80421836853,
3,0.001,3,1,-6.719970703125,0.0,0,1,-6.719970703125,271.0,118,9992.066559280396,
5,0.0002,6,1,-0.11993408203125,0.0,0,1,-0.11993408203125,287.0,118,9974.933341842652,
5,0.0003,3,1,-1.56024169921875,0.0,0,1,-1.56024169921875,288.0,118,9997.234027877808,
5,0.0005,3,1,-1.56024169921875,0.0,0,1,-1.56024169921875,288.0,118,9997.234027877808,
5,0.001,3,1,-1.56024169921875,0.0,0,1,-1.56024169921875,288.0,118,9997.234027877808,
8,0.0002,6,1,-3.660003662109375,0.0,0,1,-3.660003662109375,278.0,118,9971.808636169433,
8,0.0003,6,1,-0.11993408203125,0.0,0,1,-0.11993408203125,287.0,118,9979.109640853882,
8,0.0005,6,1,-1.707275390625,0.0,0,1,-1.707275390625,285.0,118,9978.06475238037,
8,0.001,3,1,-1.56024169921875,0.0,0,1,-1.56024169921875,288.0,118,9997.234027877808,
10,0.0002,6,1,-1.707275390625,0.0,0,1,-1.707275390625,285.0,118,9973.764293533324,
10,0.0003,6,1,-0.11993408203125,0.0,0,1,-0.11993408203125,287.0,118,9974.70805935669,
10,0.0005,6,1,-0.11993408203125,0.0,0,1,-0.11993408203125,287.0,118,9974.70805935669,
10,0.001,6,1,-4.037384033203125,0.0,0,1,-4.037384033203125,277.0,118,9974.94994923401,
