future_h,ret_threshold,total_trades,closed_trades,win_rate,avg_hold_bars,net_pnl,max_drawdown,sharpe,signal_density,final_amount
3,3e-05,15,7,100.0%,87.1,-12.98,0.00%,N/A,0.63%,9987.02
3,4e-05,12,3,100.0%,55.7,-16.31,0.00%,N/A,0.51%,9983.69
3,5e-05,13,8,87.5%,142.9,-5.78,0.42%,N/A,0.55%,9994.22
3,6e-05,11,6,100.0%,144.7,-9.94,0.00%,N/A,0.46%,9990.06
3,7e-05,13,6,100.0%,30.3,-12.99,0.00%,N/A,0.55%,9987.01
3,8e-05,20,12,91.7%,36.9,-21.47,0.16%,N/A,0.84%,9978.53
5,3e-05,20,7,71.4%,90.4,-22.05,0.74%,N/A,0.84%,9977.95
5,4e-05,16,6,100.0%,118.8,-12.11,0.00%,N/A,0.68%,9987.89
5,5e-05,18,8,100.0%,31.5,-19.61,0.00%,N/A,0.76%,9980.39
5,6e-05,19,8,100.0%,64.4,-20.23,0.00%,N/A,0.80%,9979.77
5,7e-05,18,9,77.8%,115.9,-16.25,0.03%,N/A,0.76%,9983.75
5,8e-05,15,6,100.0%,138.3,-10.84,0.00%,N/A,0.63%,9989.16
